(This is autogenerated particle system help file.)

Parameter                        Format                                                                              Desc       
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
class                            UNKNOWN,BITMAP,MODEL,TEXT                                                           Particle class.
bitmaps                          bitmap;...                                                                          (For BitmapParticles) Particle bitmaps.
line_length                      <float> or <float;float>                                                            (For BitmapParticles) If line_length is greater than zero, particle is drawn as line segment parallel to velocity vector.
models                           filename;...                                                                        (For ModelParticles) Particle 3D models.
font                             filename;...                                                                        (For TextParticles) Particle text font.
text                             string;...                                                                          (For TextParticles) Particle text.
number_of_particles              <int> or <int;int>                                                                  Number of particles to spawn.
initial_age                      <float> or <float;float>                                                            Particle initial age. Negative aged particles aren't drawn.
age_to_die                       <float> or <float;float>                                                            Particle age to die.
immortal                         true or false                                                                       Particle does not die of old age. Be |#ff1111|VERY|#ffffff| careful with this!
time                             <float> or <float;float>                                                            Particle spawn time. This value is subtracted from the initial age of the particle.
blend_mode                       NULL,NORMAL,ADDITIVE,REPLACE,SUBTRACTIVE,MULTIPLY,MULTIPLY_2X,MULTIPLY_ADD,MIX_ADD  Bitmap blend mode.
is_lit                           true or false                                                                       Particle is lit by stage lights.
collide_to_ground_plane          true or false                                                                       Collides to ground plane.
collide_to_static_actors         true or false                                                                       Collides to static actors (very expensive).
collide_to_dynamic_actors        true or false                                                                       Collides to dynamic actors (very expensive).
die_on_collision                 true or false                                                                       Particle dies on collisions no matter what the age is.
leaves_decal_on_death            true or false                                                                       Particle leaves decal when it dies. Decal is one of decal_bitmaps if defined, particle bitmap otherwise.
leaves_decal_on_collision        true or false                                                                       Particle leaves decal when it collides. Decal is one of decal_bitmaps if defined, particle bitmap otherwise.
decal_bitmaps                    bitmap;...                                                                          Decal bitmaps left if leaves_decal_on_death or leaves_decal_on_collision is true.
align_to_camera                  true or false                                                                       Particle is aligned to camera.
position_offset                  float,float,float                                                                   Particle spawn position offset.
position_spread_box              float,float,float                                                                   Particle spawn box spread dimensions.
initial_move                     <float> or <float;float>                                                            Particle movement along velocity vector direction at age 0.
move_speed                       <float> or <float;float>                                                            Length of initial velocity vector.
move_direction                   float,float,float                                                                   Move direction.
move_angle_spread                <float> or <float;float>                                                            Spread angle for random move angle cone.
move_angle_z                     <float> or <float;float>                                                            Rotation around z axis (yaw).
move_angle_y                     <float> or <float;float>                                                            Rotation around y axis (pitch).
move_angle_x                     <float> or <float;float>                                                            Rotation around x axis (roll).
dampening_factor                 <float> or <float;float>                                                            Particle dampening factor affects particle linear velocity over time. Value 1.0 has no effect. Value 0 will stop movement instantly.
restitution_coefficient          <float> or <float;float>                                                            Particle coefficient of restitution determines how much the particle bounces when it hits surface. 0 = no bounce, 1 = maximum bounce.
gravity_multiplier               <float> or <float;float>                                                            The higher the gravity multiplier, the more gravity affects this particle.
alpha_curve                      time,value;time,value;...                                                           Alpha curve over time.
scale_curve                      time,value;time,value;...                                                           Scale curve over time.
color_curve                      time,x,y,z;time,x,y,z;...                                                           Color curve over time.
alpha_multiplier                 <float> or <float;float>                                                            Alpha multiplier.
scale_multiplier                 <float> or <float;float>                                                            Scale multiplier.
velocity_based_rotation          true or false                                                                       Particle initial rotation angle is set based on velocity. Other rotations still affect.
rotation_angles                  float,float,float;float,float,float                                                 Rotation around x, y, and z axis.
angular_velocity                 float,float,float;float,float,float                                                 Angular velocity for rotations around x, y, and z axis.
randomize_angular_velocity_sign  true or false                                                                       Randomizes angular velocity sign by multiplying angular velocity of 50% of particles -1.
sounds                           filename;...                                                                        Sound to be played when effect is spawned.
effect_on_death                  filename                                                                            Effect to be spawned on particle death.
effect_on_collision              filename                                                                            Effect to be spawned on collisions.
effect_emitted                   filename                                                                            Effect to be emitted on either distance or time intervals.
effect_emit_distance_interval    <float> or <float;float>                                                            The distance particle travels between effect_emitted emits.
effect_emit_time_interval        <float> or <float;float>                                                            The time between effect_emitted emits in seconds.
